onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
153.4080000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
156.4100000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
161.3940000000	n/a	n/a	STATUS	n/a	n/a	S149
162.2980000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
163.6260000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
164.2500000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
167.7700000000	n/a	n/a	STATUS	n/a	n/a	S149
168.3180000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
169.2120000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
169.6740000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
173.0380000000	n/a	n/a	STATUS	n/a	n/a	S149
173.5300000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
174.7820000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
175.2460000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
177.9700000000	n/a	n/a	STATUS	n/a	n/a	S149
178.4620000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
179.7480000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
180.1980000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
182.9360000000	n/a	n/a	STATUS	n/a	n/a	S149
183.6100000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
184.9160000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
185.2820000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
190.0680000000	n/a	n/a	STATUS	n/a	n/a	S149
190.5900000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
191.4760000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
191.9340000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
196.5100000000	n/a	n/a	STATUS	n/a	n/a	S149
197.1740000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
198.3060000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
198.7220000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
203.3060000000	n/a	n/a	STATUS	n/a	n/a	S149
203.8260000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
204.6980000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
205.3940000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
208.3720000000	n/a	n/a	STATUS	n/a	n/a	S149
208.7820000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
210.0500000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
210.5300000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
215.1160000000	n/a	n/a	STATUS	n/a	n/a	S149
215.6560000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
216.7780000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
217.1360000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
221.1060000000	n/a	n/a	STATUS	n/a	n/a	S149
221.6200000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
222.4660000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
222.9640000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
227.1980000000	n/a	n/a	STATUS	n/a	n/a	S149
227.7200000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
228.5560000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
229.0520000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
231.7780000000	n/a	n/a	STATUS	n/a	n/a	S149
232.2960000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
233.2200000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
234.0280000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
238.8080000000	n/a	n/a	STATUS	n/a	n/a	S149
239.3160000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
240.2160000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
240.5720000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
243.1520000000	n/a	n/a	STATUS	n/a	n/a	S149
243.8160000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
244.8140000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
245.4200000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
248.7400000000	n/a	n/a	STATUS	n/a	n/a	S149
249.1080000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
250.4180000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
251.2200000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
254.6300000000	n/a	n/a	STATUS	n/a	n/a	S149
255.1400000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
256.3580000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
256.7600000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
260.5860000000	n/a	n/a	STATUS	n/a	n/a	S149
261.1320000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
262.3300000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
262.6640000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
267.0440000000	n/a	n/a	STATUS	n/a	n/a	S149
267.5000000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
268.7720000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
269.0760000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
273.9080000000	n/a	n/a	STATUS	n/a	n/a	S149
274.5000000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
275.7360000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
276.3080000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
279.6780000000	n/a	n/a	STATUS	n/a	n/a	S149
279.9800000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
281.2380000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
281.6400000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
285.4160000000	n/a	n/a	STATUS	n/a	n/a	S149
285.8920000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
287.1120000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
288.3560000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
291.3720000000	n/a	n/a	STATUS	n/a	n/a	S149
291.7920000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
292.8660000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
293.1760000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
296.7420000000	n/a	n/a	STATUS	n/a	n/a	S149
297.8360000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
298.8220000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
299.4440000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
303.8720000000	n/a	n/a	STATUS	n/a	n/a	S149
304.3880000000	n/a	n/a	Practice: filler trigger	n/a	n/a	S 99
321.0360000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
321.9800000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
326.8080000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
327.3480000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
328.3860000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
329.0000000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
332.2280000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
332.7840000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
333.6040000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
333.9360000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
337.3120000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
337.7880000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
338.7200000000	n/a	n/a	CueAOnset	n/a	n/a	S  3
339.0800000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
343.3000000000	n/a	n/a	Probe_aY_onset	n/a	n/a	S 53
344.0640000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 41
345.0620000000	n/a	n/a	STATUS	n/a	n/a	S 25
345.7440000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
349.3080000000	n/a	n/a	STATUS	n/a	n/a	S 75
349.7320000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 41
350.9520000000	n/a	n/a	CueAOnset	n/a	n/a	S  3
351.5720000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
355.1960000000	n/a	n/a	Probe_aY_onset	n/a	n/a	S 53
356.0820000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 41
357.2600000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
357.8460000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
362.4280000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
362.9420000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
363.9200000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
364.4660000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
369.3400000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
370.1300000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
371.3700000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
371.8260000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
374.9600000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
375.5820000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
376.5040000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
377.0420000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
380.0280000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
380.5700000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
381.5720000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
381.9460000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
385.0780000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
385.6860000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
386.7400000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
387.2260000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
391.5540000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
392.1700000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
393.3840000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
394.0100000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
398.9880000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
399.4980000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
400.6480000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
400.9180000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
405.6480000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
406.3300000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
407.5600000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
407.8620000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
411.0000000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
411.4900000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
412.7440000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
413.0660000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
416.8900000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
417.3020000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
418.2640000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
418.7900000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
422.2580000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
422.6500000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
423.4820000000	n/a	n/a	CueAOnset	n/a	n/a	S  2
423.8540000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
428.9360000000	n/a	n/a	Probe_aY_onset	n/a	n/a	S 52
429.5780000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 41
430.7820000000	n/a	n/a	STATUS	n/a	n/a	S 13
431.6260000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
435.7980000000	n/a	n/a	Probe_bY_onset	n/a	n/a	S 63
436.1380000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 41
437.2580000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
437.7780000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
442.3080000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
442.7100000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
443.9860000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
444.4900000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
448.9180000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
449.4540000000	n/a	n/a	Response: Probe_Incorr	n/a	n/a	S 42
450.3440000000	n/a	n/a	Feedback: ProbeErr	n/a	n/a	S 45
452.1240000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
452.6020000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
455.9140000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
456.5500000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
457.4080000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
457.7780000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
460.9980000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
461.5980000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
462.5080000000	n/a	n/a	CueAOnset	n/a	n/a	S  4
462.7940000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
466.3180000000	n/a	n/a	Probe_aY_onset	n/a	n/a	S 54
467.0220000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 41
468.1620000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
468.6180000000	n/a	n/a	Response: CueCorr	n/a	n/a	S 37
471.7540000000	n/a	n/a	Probe_aX_onset	n/a	n/a	S 51
472.3740000000	n/a	n/a	Response: Probe_Corr	n/a	n/a	S 43
473.6820000000	n/a	n/a	CueAOnset	n/a	n/a	S  1
